country,age_grp,meas,iso3c,value,itz
Singapore,65-75,median,SGP,3.95e-4,Eastern and Southern Asia
Slovakia,65-75,median,SVK,1.02e-4,Europe
Slovenia,65-75,median,SVN,5.6e-5,Europe
Solomon_Islands,65-75,median,SLB,3.57e-4,Oceania-Melanesia-Polynesia
Somalia,65-75,median,SOM,3.7200000000000004e-4,Africa
South_Africa,65-75,median,ZAF,3.74e-4,Africa
South_Sudan,65-75,median,SSD,3.7e-4,Africa
Spain,65-75,median,ESP,6.8e-5,Europe
Sri_Lanka,65-75,median,LKA,9.400000000000001e-5,Eastern and Southern Asia
Sudan,65-75,median,SDN,3.64e-4,Africa
Suriname,65-75,median,SUR,1.73e-4,Southern America
Swaziland,65-75,median,SWZ,3.7e-4,Africa
Sweden,65-75,median,SWE,1.12e-4,Europe
Switzerland,65-75,median,CHE,4.7000000000000004e-5,Europe
Syria,65-75,median,SYR,9.300000000000001e-5,Asia-Europe
Taiwan,65-75,median,TWN,3.4e-5,Eastern and Southern Asia
Tajikistan,65-75,median,TJK,3.7299999999999996e-4,Asia-Europe
Thailand,65-75,median,THA,2.2600000000000002e-4,Eastern and Southern Asia
Macedonia,65-75,median,MKD,5.7e-5,Europe
Timor-Leste,65-75,median,TLS,3.63e-4,Eastern and Southern Asia
Togo,65-75,median,TGO,3.7600000000000003e-4,Africa
Tonga,65-75,median,TON,2.85e-4,Oceania-Melanesia-Polynesia
Trinidad_and_Tobago,65-75,median,TTO,1.3099999999999999e-4,Southern America
Tunisia,65-75,median,TUN,3.7e-4,Europe
Turkey,65-75,median,TUR,1.22e-4,Asia-Europe
Turkmenistan,65-75,median,TKM,9.800000000000001e-5,Asia-Europe
Uganda,65-75,median,UGA,3.6899999999999997e-4,Africa
Ukraine,65-75,median,UKR,5.7e-5,Europe
United_Arab_Emirates,65-75,median,ARE,3.7200000000000004e-4,Asia-Europe
United_Kingdom,65-75,median,GBR,1.5099999999999998e-4,Europe
Tanzania,65-75,median,TZA,3.7e-4,Africa
United_States_of_America,65-75,median,USA,8.599999999999999e-5,Northern America
Uruguay,65-75,median,URY,3.19e-4,Southern America
Uzbekistan,65-75,median,UZB,1.34e-4,Asia-Europe
Vanuatu,65-75,median,VUT,3.82e-4,Oceania-Melanesia-Polynesia
Venezuela,65-75,median,VEN,9.1e-5,Southern America
Vietnam,65-75,median,VNM,9.300000000000001e-5,Eastern and Southern Asia
Yemen,65-75,median,YEM,3.77e-4,Asia-Europe
Zambia,65-75,median,ZMB,3.71e-4,Africa
Zimbabwe,65-75,median,ZWE,3.64e-4,Africa
Afghanistan,65-75,L95,AFG,7.8e-5,Asia-Europe
Albania,65-75,L95,ALB,9e-6,Europe
Algeria,65-75,L95,DZA,1.6e-5,Europe
Angola,65-75,L95,AGO,7.2e-5,Africa
Antigua_and_Barbuda,65-75,L95,ATG,0,NA
Argentina,65-75,L95,ARG,2.83e-4,Southern America
Armenia,65-75,L95,ARM,7e-6,Asia-Europe
Australia,65-75,L95,AUS,6e-6,Oceania-Melanesia-Polynesia
Austria,65-75,L95,AUT,4.599999999999999e-5,Europe
Azerbaijan,65-75,L95,AZE,7e-6,Asia-Europe
Bahamas,65-75,L95,BHS,0,Northern America
Bahrain,65-75,L95,BHR,0,Asia-Europe
Bangladesh,65-75,L95,BGD,1.7e-5,Eastern and Southern Asia
Barbados,65-75,L95,BRB,4.2999999999999995e-5,Southern America
Belarus,65-75,L95,BLR,5e-6,Europe
Belgium,65-75,L95,BEL,1.6e-5,Europe
Belize,65-75,L95,BLZ,1.1300000000000001e-4,Northern America
Benin,65-75,L95,BEN,7.3e-5,Africa
Bhutan,65-75,L95,BTN,8.099999999999999e-5,Eastern and Southern Asia
Bolivia,65-75,L95,BOL,7.599999999999999e-5,Southern America
Bosnia_and_Herzegovina,65-75,L95,BIH,9e-6,Europe
Botswana,65-75,L95,BWA,7.2e-5,Africa
Brazil,65-75,L95,BRA,4.8e-5,Southern America
Brunei_Darussalam,65-75,L95,BRN,0,Eastern and Southern Asia
Bulgaria,65-75,L95,BGR,2e-5,Europe
Burkina_Faso,65-75,L95,BFA,7.5e-5,Africa
Burundi,65-75,L95,BDI,7.400000000000001e-5,Africa
Cambodia,65-75,L95,KHM,7.7e-5,Eastern and Southern Asia
Cameroon,65-75,L95,CMR,8e-5,Africa
Canada,65-75,L95,CAN,1.7e-5,Northern America
Cape_Verde,65-75,L95,CPV,9.199999999999999e-5,Africa
Central_African_Republic,65-75,L95,CAF,7.7e-5,Africa
Chad,65-75,L95,TCD,7e-5,Africa
Chile,65-75,L95,CHL,1.81e-4,Southern America
Hong_Kong,65-75,L95,HKG,9.5e-5,Eastern and Southern Asia
China,65-75,L95,CHN,5.9000000000000004e-5,Eastern and Southern Asia
Colombia,65-75,L95,COL,1.7e-5,Southern America
Comoros,65-75,L95,COM,6.5e-5,Africa
Congo,65-75,L95,COG,7e-5,Africa
Costa_Rica,65-75,L95,CRI,1.8999999999999998e-5,Southern America
Côte_d'Ivoire,65-75,L95,CIV,7.900000000000001e-5,Africa
Croatia,65-75,L95,HRV,1.2e-5,Europe
Cuba,65-75,L95,CUB,3.5e-5,Northern America
Cyprus,65-75,L95,CYP,1.1000000000000001e-5,Asia-Europe
Czech_Republic,65-75,L95,CZE,3.9e-5,Europe
Democratic_People's_Republic_of_Korea,65-75,L95,PRK,1.6e-5,Eastern and Southern Asia
Democratic_Republic_of_the_Congo,65-75,L95,COD,7.5e-5,Africa
Denmark,65-75,L95,DNK,1.4e-5,Europe
Djibouti,65-75,L95,DJI,7.7e-5,Asia-Europe
Dominican_Republic,65-75,L95,DOM,1.7e-5,Southern America
Ecuador,65-75,L95,ECU,2.5e-5,Northern America
Egypt,65-75,L95,EGY,7.400000000000001e-5,Asia-Europe
El_Salvador,65-75,L95,SLV,6.5e-5,Southern America
Equatorial_Guinea,65-75,L95,GNQ,6.2e-5,Africa
Eritrea,65-75,L95,ERI,7.7e-5,Asia-Europe
Estonia,65-75,L95,EST,1.6e-5,Europe
Ethiopia,65-75,L95,ETH,7e-5,Africa
Fiji,65-75,L95,FJI,5.3e-5,Oceania-Melanesia-Polynesia
Finland,65-75,L95,FIN,3e-6,Europe
France,65-75,L95,FRA,1.2e-5,Europe
Gabon,65-75,L95,GAB,7.400000000000001e-5,Africa
Gambia,65-75,L95,GMB,9e-5,Africa
Georgia,65-75,L95,GEO,1.1000000000000001e-5,Asia-Europe
Germany,65-75,L95,DEU,6e-6,Europe
Ghana,65-75,L95,GHA,8.199999999999999e-5,Africa
Greece,65-75,L95,GRC,1.3000000000000001e-5,Europe
Grenada,65-75,L95,GRD,0,NA
Guatemala,65-75,L95,GTM,6.2e-5,Northern America
Guinea,65-75,L95,GIN,7e-5,Africa
Guinea-Bissau,65-75,L95,GNB,6.8e-5,Africa
Guyana,65-75,L95,GUY,7.3e-5,Southern America
Haiti,65-75,L95,HTI,7.099999999999999e-5,Southern America
Honduras,65-75,L95,HND,9e-6,Northern America
Hungary,65-75,L95,HUN,9e-6,Europe
Iceland,65-75,L95,ISL,0,Europe
India,65-75,L95,IND,1.34e-4,Eastern and Southern Asia
Indonesia,65-75,L95,IDN,1.6e-5,Eastern and Southern Asia
Iran_(Islamic_Republic_of),65-75,L95,IRN,1.3000000000000001e-5,Asia-Europe
Iraq,65-75,L95,IRQ,1.6e-5,Asia-Europe
Ireland,65-75,L95,IRL,1.4e-5,Europe
Israel,65-75,L95,ISR,1.7e-5,Asia-Europe
Italy,65-75,L95,ITA,8e-6,Europe
Jamaica,65-75,L95,JAM,1.4e-5,Southern America
Japan,65-75,L95,JPN,2.7000000000000002e-5,Eastern and Southern Asia
Jordan,65-75,L95,JOR,1.6e-5,Asia-Europe
Kazakhstan,65-75,L95,KAZ,1.8e-5,Asia-Europe
Kenya,65-75,L95,KEN,7.599999999999999e-5,Africa
Kiribati,65-75,L95,KIR,0,NA
Kuwait,65-75,L95,KWT,7.099999999999999e-5,Asia-Europe
Kyrgyzstan,65-75,L95,KGZ,7e-6,Asia-Europe
Lao_People's_Democratic_Republic,65-75,L95,LAO,7.400000000000001e-5,Eastern and Southern Asia
Latvia,65-75,L95,LVA,2e-5,Europe
Lebanon,65-75,L95,LBN,1e-5,Asia-Europe
Lesotho,65-75,L95,LSO,7.099999999999999e-5,Africa
Liberia,65-75,L95,LBR,8e-5,Africa
Libya,65-75,L95,LBY,7.5e-5,Europe
Lithuania,65-75,L95,LTU,1.8999999999999998e-5,Europe
Luxembourg,65-75,L95,LUX,2.4e-5,Europe
Madagascar,65-75,L95,MDG,7.900000000000001e-5,Africa
Malawi,65-75,L95,MWI,7.400000000000001e-5,Africa
Malaysia,65-75,L95,MYS,7.8e-5,Eastern and Southern Asia
Maldives,65-75,L95,MDV,0,Eastern and Southern Asia
Mali,65-75,L95,MLI,7.8e-5,Africa
Malta,65-75,L95,MLT,2e-5,Europe
Mauritania,65-75,L95,MRT,7.5e-5,Africa
Mauritius,65-75,L95,MUS,1.3000000000000001e-5,Africa
Mexico,65-75,L95,MEX,1.01e-4,Northern America
Micronesia_(Federated_States_of),65-75,L95,FSM,0,NA
Mongolia,65-75,L95,MNG,1.3000000000000001e-5,Eastern and Southern Asia
Montenegro,65-75,L95,MNE,0,Europe
Morocco,65-75,L95,MAR,7.099999999999999e-5,Europe
Mozambique,65-75,L95,MOZ,7.2e-5,Africa
Myanmar,65-75,L95,MMR,7.3e-5,Eastern and Southern Asia
Namibia,65-75,L95,NAM,8.400000000000001e-5,Africa
Nepal,65-75,L95,NPL,7.400000000000001e-5,Eastern and Southern Asia
Netherlands,65-75,L95,NLD,7.400000000000001e-5,Europe
New_Zealand,65-75,L95,NZL,2.6000000000000002e-5,Oceania-Melanesia-Polynesia
Nicaragua,65-75,L95,NIC,1.7e-5,Northern America
Niger,65-75,L95,NER,7.2e-5,Africa
Nigeria,65-75,L95,NGA,7.8e-5,Africa
Norway,65-75,L95,NOR,6e-5,Europe
Oman,65-75,L95,OMN,7.3e-5,Asia-Europe
Pakistan,65-75,L95,PAK,1.7e-5,Asia-Europe
Panama,65-75,L95,PAN,1.7e-5,Southern America
Papua_New_Guinea,65-75,L95,PNG,7.7e-5,Eastern and Southern Asia
Paraguay,65-75,L95,PRY,1.25e-4,Southern America
Peru,65-75,L95,PER,8.099999999999999e-5,Northern America
Philippines,65-75,L95,PHL,1.29e-4,Eastern and Southern Asia
Poland,65-75,L95,POL,1.6e-5,Europe
