simulation_index,age_grp,ihr
51,4,0.004416099767087255
52,4,0.004418204409485379
53,4,0.005252498270013102
54,4,0.005852490033663569
55,4,0.004502629143651297
56,4,0.0058829016638082795
57,4,0.004203547735124509
58,4,0.005484545302099226
59,4,0.009695865115455104
60,4,0.0037859798061842054
61,4,0.007272084833123989
62,4,0.0074487312735925385
63,4,0.006710565273202292
64,4,0.00639442561314403
65,4,0.006102586965786826
66,4,0.004988667075622927
67,4,0.0063748803328115165
68,4,0.007450397829121906
69,4,0.0048556715504178205
70,4,0.0051485423416549716
71,4,0.005115206977792785
72,4,0.004400104790422179
73,4,0.005718197083648804
74,4,0.006215867553145662
75,4,0.005371401409888907
76,4,0.0037810855155409663
77,4,0.005689884707923356
78,4,0.005055440382906177
79,4,0.005666054677341436
80,4,0.005819893960067504
81,4,0.006916998134765006
82,4,0.00591969210232282
83,4,0.003165895168266828
84,4,0.005567056199333175
85,4,0.008207246790124422
86,4,0.005722284509635482
87,4,0.006320579666449862
88,4,0.002721439819620984
89,4,0.0047236143275555635
90,4,0.008941699683180019
91,4,0.005581690968908652
92,4,0.007381617153087432
93,4,0.006235295802759867
94,4,0.008454944800586728
95,4,0.004630730355486972
96,4,0.006998307024251045
97,4,0.0069446837442822314
98,4,0.003872564552798292
99,4,0.005424995625995267
100,4,0.00418434031290549
