"","iso3c","age_grp","cluster_name","yll"
"452","MMR",2,"Eastern and Southern Asia",27.5476212478756
"453","MNG",2,"Eastern and Southern Asia",27.9948449271873
"454","MYS",2,"Eastern and Southern Asia",28.7776732704445
"455","NPL",2,"Eastern and Southern Asia",28.0140114565675
"456","PHL",2,"Eastern and Southern Asia",28.3892748818555
"457","PNG",2,"Eastern and Southern Asia",27.2243152838351
"458","PRK",2,"Eastern and Southern Asia",28.3481962551114
"459","RUS",2,"Eastern and Southern Asia",27.2769783045769
"460","SGP",2,"Eastern and Southern Asia",29.9865455921703
"461","THA",2,"Eastern and Southern Asia",29.001686482627
"462","TLS",2,"Eastern and Southern Asia",27.9186382837248
"463","VNM",2,"Eastern and Southern Asia",28.553812984126
"464","JPN",2,"Eastern and Southern Asia",29.9511201969819
"465","TWN",2,"Eastern and Southern Asia",29.3705590204629
"466","AGO",2,"Africa",26.7601170292758
"467","BDI",2,"Africa",26.5051724227865
"468","BEN",2,"Africa",26.5178297023843
"469","BFA",2,"Africa",26.4564444050738
"470","BWA",2,"Africa",27.1434130054994
"471","CAF",2,"Africa",25.0913816456372
"472","CIV",2,"Africa",25.972610475916
"473","CMR",2,"Africa",26.4466550444671
"474","COD",2,"Africa",26.3552366915615
"475","COG",2,"Africa",26.6083475395664
"476","COM",2,"Africa",27.0466480202086
"477","CPV",2,"Africa",28.6128046511881
"478","ETH",2,"Africa",27.2401649573631
"479","GAB",2,"Africa",27.1560542836564
"480","GHA",2,"Africa",26.8198373864177
"481","GIN",2,"Africa",26.443549919372
"482","GMB",2,"Africa",26.6523911354521
"483","GNB",2,"Africa",26.3101402565805
"484","GNQ",2,"Africa",26.6500888449931
"485","KEN",2,"Africa",26.0182005811129
"486","LBR",2,"Africa",26.6438904444431
"487","LSO",2,"Africa",24.4468361316424
"488","MDG",2,"Africa",27.1923395804038
"489","MLI",2,"Africa",26.4645199409599
"490","MOZ",2,"Africa",26.1700534087832
"491","MRT",2,"Africa",27.3853096903623
"492","MUS",2,"Africa",28.2596182025736
"493","MWI",2,"Africa",26.3291383678218
"494","NAM",2,"Africa",25.0595044880023
"495","NER",2,"Africa",26.9368130642946
"496","NGA",2,"Africa",25.217682083462
"497","SDN",2,"Africa",27.36298563584
"498","SEN",2,"Africa",27.6806408554966
"499","SLE",2,"Africa",26.9609685925111
"500","SSD",2,"Africa",25.5302413844601
"501","STP",2,"Africa",27.193105529211
"502","SWZ",2,"Africa",24.7662035208049
"503","TCD",2,"Africa",24.9802750318102
"504","TGO",2,"Africa",26.586223084316
"505","TZA",2,"Africa",27.4925675150528
"506","UGA",2,"Africa",26.6598001475272
"507","ZAF",2,"Africa",25.7581528432338
"508","ZMB",2,"Africa",26.4847199880333
"509","ZWE",2,"Africa",25.6604746135486
"510","SOM",2,"Africa",25.8794593362147
"511","AFG",2,"Asia-Europe",26.5317413249395
"512","ARE",2,"Asia-Europe",29.3148183945038
"513","ARM",2,"Asia-Europe",28.2033961462566
"514","AZE",2,"Asia-Europe",28.3303314382555
"515","BHR",2,"Asia-Europe",29.3576366199676
"516","CYP",2,"Asia-Europe",29.6566378081157
"517","DJI",2,"Asia-Europe",26.7328028918056
"518","EGY",2,"Asia-Europe",27.9052390869772
"519","ERI",2,"Asia-Europe",27.3492887797377
"520","GEO",2,"Asia-Europe",27.7323183026655
"521","IRN",2,"Asia-Europe",28.4739048289825
"522","IRQ",2,"Asia-Europe",28.1876268333589
"523","ISR",2,"Asia-Europe",29.7304315219638
"524","JOR",2,"Asia-Europe",28.6660805030689
"525","KAZ",2,"Asia-Europe",27.4261429021999
"526","KGZ",2,"Asia-Europe",27.7458010417176
"527","KWT",2,"Asia-Europe",29.5312478263306
"528","LBN",2,"Asia-Europe",28.5597795519763
"529","OMN",2,"Asia-Europe",28.4211205069997
"530","PAK",2,"Asia-Europe",27.7975367620038
"531","PSE",2,"Asia-Europe",28.5572568228301
"532","QAT",2,"Asia-Europe",29.7005071890199
"533","RWA",2,"Asia-Europe",27.3988914061118
"534","SAU",2,"Asia-Europe",28.9757309717509
"535","SYR",2,"Asia-Europe",28.0856394016298
"536","TJK",2,"Asia-Europe",28.1044180891349
"537","TKM",2,"Asia-Europe",27.959661186697
